"","strain","type_of_doe","plate","condition","p_h","glucose_g_l","ammonium_sulfate_g_l","phosphate_citrate_x","ynb_x","amino_acid_1_m_m","amino_acid_2_g_l","amino_acid_2_g_l_1","ethanol_g_l","mean_calc_OD60","residual_glucose"
"83","Strain A","Round_1_central_composite_design","Plate 24",11,5,35,3,1,0.75,3.5,0,0.5,5,7.470631899,-99
"84","Strain A","Round_1_central_composite_design","Plate 24",12,5,35,3,1,1.25,3.5,0,0.5,1,6.7667869315,-99
"85","Strain A","Round_1_central_composite_design","Plate 24",13,4,35,3,1,1.25,3.5,0,0.5,1,5.5874868785,-99
"86","Strain A","Round_1_central_composite_design","Plate 24",14,5,15,3,1,0.75,3.5,0,0.5,5,6.64579828175,-99
"87","Strain A","Round_1_central_composite_design","Plate 24",15,5,35,3,1,1.25,3.5,0,0.1,1,5.87415888225,-99
"88","Strain A","Round_1_central_composite_design","Plate 24",16,4,15,3,1,0.75,3.5,0,0.5,5,7.750575232,-99
"89","Strain A","Round_1_central_composite_design","Plate 24",17,4,35,3,1,0.75,3.5,0,0.5,5,7.806028747,-99
"90","Strain A","Round_1_central_composite_design","Plate 24",18,5,15,3,1,1.25,3.5,0,0.1,5,6.67655897033333,-99
"91","Strain A","Round_1_central_composite_design","Plate 24",19,4.5,10,3,1,1,3.5,0,0.3,3,5.85547299375,-99
"92","Strain A","Round_1_central_composite_design","Plate 24",20,4,15,3,1,0.75,3.5,0,0.1,5,6.66624325875,-99
"93","Strain A","Round_1_central_composite_design","Plate 24",21,5,35,3,1,1.25,3.5,0,0.5,5,7.720381902,-99
"94","Strain A","Round_1_central_composite_design","Plate 24",22,4.5,40,3,1,1,3.5,0,0.3,3,7.16079012775,-99
"95","Strain A","Round_1_central_composite_design","Plate 24",23,4,15,3,1,0.75,3.5,0,0.1,1,4.63339889275,-99
"96","Strain A","Round_1_central_composite_design","Plate 24",24,5,15,3,1,0.75,3.5,0,0.1,5,6.33897136325,-99
"97","Strain A","Round_1_central_composite_design","Plate 25",25,4.5,25,3,1,0.625,3.5,0,0.3,3,6.509198324,-99
"98","Strain A","Round_1_central_composite_design","Plate 25",26,5,35,3,1,0.75,3.5,0,0.1,5,7.07519616,-99
"99","Strain A","Round_1_central_composite_design","Plate 25",27,4.5,25,3,1,1,3.5,0,0.3,6,7.5713404375,-99
"100","Strain A","Round_1_central_composite_design","Plate 25",28,4,15,3,1,1.25,3.5,0,0.1,5,7.627939275,-99
"101","Strain A","Round_1_central_composite_design","Plate 25",29,4,35,3,1,1.25,3.5,0,0.1,1,7.29913846425,-99
"102","Strain A","Round_1_central_composite_design","Plate 25",30,4,35,3,1,0.75,3.5,0,0.5,1,8.318485207,-99
"103","Strain A","Round_1_central_composite_design","Plate 25",31,4.5,25,3,1,1,3.5,0,0.6,3,7.72712913725,-99
"104","Strain A","Round_1_central_composite_design","Plate 25",32,4.5,25,3,1,1,3.5,0,0.3,0,6.96805578733333,-99
"105","Strain A","Round_1_central_composite_design","Plate 25",33,5,35,3,1,1.25,3.5,0,0.1,5,7.87525249275,-99
"106","Strain A","Round_1_central_composite_design","Plate 25",34,4.5,25,3,1,1,3.5,0,0.3,3,7.04476611525,-99
"107","Strain A","Round_1_central_composite_design","Plate 25",35,4,35,3,1,0.75,3.5,0,0.1,1,6.63725659325,-99
"108","Strain A","Round_1_central_composite_design","Plate 25",36,4.5,25,3,1,1.375,3.5,0,0.3,3,8.11202786375,-99
"109","Strain A","Round_1_central_composite_design","Plate 25",37,4.5,25,3,1,1,3.5,0,0.3,3,6.403214414,-99
"110","Strain A","Round_1_central_composite_design","Plate 25",38,4,15,3,1,1.25,3.5,0,0.5,1,8.219124086,-99
"111","Strain A","Round_1_central_composite_design","Plate 25",39,5,15,3,1,0.75,3.5,0,0.5,1,6.309379101,-99
"112","Strain A","Round_1_central_composite_design","Plate 25",40,4,15,3,1,0.75,3.5,0,0.5,1,7.1195999045,-99
"113","Strain A","Round_1_central_composite_design","Plate 25",41,4,35,3,1,1.25,3.5,0,0.1,5,8.64504443175,-99
"114","Strain A","Round_1_central_composite_design","Plate 25",42,3.75,25,3,1,1,3.5,0,0.3,3,7.3468841995,-99
"115","Strain A","Round_1_central_composite_design","Plate 25",43,5,15,3,1,1.25,3.5,0,0.1,1,5.56134745075,-99
"116","Strain A","Round_1_central_composite_design","Plate 25",44,4.5,25,3,1,1,3.5,0,0,3,6.70004669975,-99
"117","Strain A","Round_1_central_composite_design","Plate 25",45,4.5,15,3,1,0.5,3.5,0,0,0,3.42707359525,-99
"118","Strain A","Round_1_central_composite_design","Plate 25",46,4.5,15,3,1,0.625,3.5,0,0,0,5.80292231875,-99
"119","Strain A","Round_1_central_composite_design","Plate 25",47,4.5,15,3,1,1,3.5,0,0,0,6.00695230025,-99
"120","Strain A","Round_1_central_composite_design","Plate 25",48,4.5,35,3,1,1.25,3.5,0,0.5,0,8.63180752825,-99
"121","Strain B","Round_0_Definitive_screening_design","Plate 19",1,4.5,35,3,0.2,1.25,3.5,0.5,0,5,18.55953761,0
"122","Strain B","Round_0_Definitive_screening_design","Plate 19",2,4.5,15,12,0.2,2,0.1,0.25,0.5,5,11.3339908375,0
