"","strain","type_of_doe","plate","incubation_time_h","condition","p_h","glucose_g_l","ynb_x","amino_acid_1_m_m","ethanol_g_l","agit_rpm","mean_calc_OD60","residual_glucose"
"53","Strain A","Round_1_Definitive_screening_design","plate_14",16,11,6.5,15,1.75,0.8,0,300,2.75957634,6.26
"54","Strain A","Round_1_Definitive_screening_design","plate_14",16,12,5.8,5,3,1.4,0,300,3.260625245,0
"55","Strain A","Round_1_Definitive_screening_design","plate_14",16,13,6.5,5,3,0.8,0,300,2.492259415,0
"56","Strain A","Round_1_Definitive_screening_design","plate_15",24,1,6.5,15,1.75,2,0,150,3.564573005,-99
"57","Strain A","Round_1_Definitive_screening_design","plate_15",24,2,5,15,1.75,2,0,150,3.9676725,-99
"58","Strain A","Round_1_Definitive_screening_design","plate_15",24,3,5.8,25,0.5,1.4,0,150,3.10312067,-99
"59","Strain A","Round_1_Definitive_screening_design","plate_16",24,4,6.5,5,3,1.4,0,225,2.36056475,-99
"60","Strain A","Round_1_Definitive_screening_design","plate_16",24,5,5,25,0.5,1.4,0,225,3.240586495,-99
"61","Strain A","Round_1_Definitive_screening_design","plate_16",24,6,5.8,25,3,0.8,0,225,9.3268358,-99
"62","Strain A","Round_1_Definitive_screening_design","plate_16",24,7,5.8,5,0.5,2,0,225,2.47807198,-99
"63","Strain A","Round_1_Definitive_screening_design","plate_16",24,8,5.8,15,1.75,1.4,0,225,8.0507682,-99
"64","Strain A","Round_1_Definitive_screening_design","plate_16",24,9,5.8,15,1.75,1.4,0,225,7.31093755,-99
"65","Strain A","Round_1_Definitive_screening_design","plate_17",24,10,5,15,1.75,0.8,0,300,12.59635825,-99
"66","Strain A","Round_1_Definitive_screening_design","plate_17",24,11,6.5,15,1.75,0.8,0,300,7.45521655,-99
"67","Strain A","Round_1_Definitive_screening_design","plate_17",24,12,5.8,5,3,1.4,0,300,8.8346841,-99
"68","Strain A","Round_1_Definitive_screening_design","plate_17",24,13,6.5,5,3,0.8,0,300,3.564573005,-99
"69","Strain A","Round_1_Definitive_screening_design","plate_9",8,1,6.5,15,1.75,2,0,150,0.349876575,-99
"70","Strain A","Round_1_Definitive_screening_design","plate_9",8,2,5,15,1.75,2,0,150,0.41007298,-99
"71","Strain A","Round_1_Definitive_screening_design","plate_9",8,3,5.8,25,0.5,1.4,0,150,0.409351585,-99
"72","Strain B","Round_0_Fractional_Factorial_Design","plate_1",18,1,5,5,0.5,0.5,5,150,1.47837882,0
"73","Strain B","Round_0_Fractional_Factorial_Design","plate_1",18,4,5,25,3,0.5,5,150,1.974458115,12.42
"74","Strain B","Round_0_Fractional_Factorial_Design","plate_1",18,6,5,25,3,0.5,40,150,0.72989143,20.68
"75","Strain B","Round_0_Fractional_Factorial_Design","plate_1",18,7,5,5,0.5,0.5,40,150,1.05227484,3.22
"76","Strain B","Round_0_Fractional_Factorial_Design","plate_1",18,9,5,5,3,2,5,150,1.427320085,3.22
"77","Strain B","Round_0_Fractional_Factorial_Design","plate_1",18,12,5,25,0.5,2,5,150,1.090508775,19.54
"78","Strain B","Round_0_Fractional_Factorial_Design","plate_1",18,13,6.5,5,0.5,2,40,150,0.901984215,3.73
"79","Strain B","Round_0_Fractional_Factorial_Design","plate_1",18,15,5,5,0.5,2,40,150,0.880021745,3.82
"80","Strain B","Round_0_Fractional_Factorial_Design","plate_2",18,2,6.5,25,3,0.5,5,300,2.036979015,12.91
"81","Strain B","Round_0_Fractional_Factorial_Design","plate_2",18,3,6.5,5,0.5,0.5,5,300,1.55965599,1.84
"82","Strain B","Round_0_Fractional_Factorial_Design","plate_2",18,5,6.5,5,0.5,0.5,40,300,0.62488838,4.28
"83","Strain B","Round_0_Fractional_Factorial_Design","plate_2",18,8,6.5,25,3,0.5,40,300,0.679634245,21.12
"84","Strain B","Round_0_Fractional_Factorial_Design","plate_2",18,10,6.5,25,0.5,2,5,300,1.75459295,21.12
"85","Strain B","Round_0_Fractional_Factorial_Design","plate_2",18,11,6.5,5,3,2,5,300,2.06014381,0
"86","Strain B","Round_0_Fractional_Factorial_Design","plate_2",18,14,5,25,3,2,40,300,0.582807005,21.85
"87","Strain B","Round_0_Fractional_Factorial_Design","plate_2",18,16,6.5,25,3,2,40,300,0.65582821,21.11
"88","Strain B","Round_0_Fractional_Factorial_Design","plate_3",24,1,5,5,0.5,0.5,5,150,5.52900993566667,0
"89","Strain B","Round_0_Fractional_Factorial_Design","plate_3",24,4,5,25,3,0.5,5,150,15.4968517966667,0.56
"90","Strain B","Round_0_Fractional_Factorial_Design","plate_3",24,6,5,25,3,0.5,40,150,11.1246551425,17.99
"91","Strain B","Round_0_Fractional_Factorial_Design","plate_3",24,7,5,5,0.5,0.5,40,150,6.85058041383333,0.73
"92","Strain B","Round_0_Fractional_Factorial_Design","plate_3",24,9,5,5,3,2,5,150,5.48292202,0
"93","Strain B","Round_0_Fractional_Factorial_Design","plate_3",24,12,5,25,0.5,2,5,150,12.452167055,8.87
"94","Strain B","Round_0_Fractional_Factorial_Design","plate_3",24,13,6.5,5,0.5,2,40,150,5.25634189266667,1.5
"95","Strain B","Round_0_Fractional_Factorial_Design","plate_3",24,15,5,5,0.5,2,40,150,6.10244744283333,1.82
"96","Strain B","Round_0_Fractional_Factorial_Design","plate_4",24,2,6.5,25,3,0.5,5,300,18.5875667066667,0
"97","Strain B","Round_0_Fractional_Factorial_Design","plate_4",24,3,6.5,5,0.5,0.5,5,300,5.31647001816667,0
"98","Strain B","Round_0_Fractional_Factorial_Design","plate_4",24,5,6.5,5,0.5,0.5,40,300,4.961073112,3.35
"99","Strain B","Round_0_Fractional_Factorial_Design","plate_4",24,8,6.5,25,3,0.5,40,300,6.05420429,0
"100","Strain B","Round_0_Fractional_Factorial_Design","plate_4",24,10,6.5,25,0.5,2,5,300,12.809951865,13.43
"101","Strain B","Round_0_Fractional_Factorial_Design","plate_4",24,11,6.5,5,3,2,5,300,5.75434261066667,0
"102","Strain B","Round_0_Fractional_Factorial_Design","plate_4",24,14,5,25,3,2,40,300,5.692245688,21.22
"103","Strain B","Round_0_Fractional_Factorial_Design","plate_4",24,16,6.5,25,3,2,40,300,5.598243263,20.46
"104","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,1,5,5,0.5,0.5,5,150,0.88058283,-99
"105","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,2,6.5,25,3,0.5,5,300,12.5715102,-99
"106","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,3,6.5,5,0.5,0.5,5,300,2.25572201,-99
"107","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,4,5,25,3,0.5,5,150,1.48110409,-99
"108","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,5,6.5,5,0.5,0.5,40,300,0.577116,-99
