,Ferm Number,Ferm Age,Side Product 1,Upstream Intermediate,Amino Acid 1,Amino Acid 2,Cell Mass,Side Product 2,Downstream Intermediate 1,Side Product 3,Downstream Intermediate 2,Target Product,Side Product 4,Fermenter,Strain,Run Description
468,AF12656,102,441.5907151636214,21.745637794635055,212.29564242055702,211.91698776371868,914.9828685081485,0.0,1605.0519472087478,1864.5688454179908,1332.7628840027676,1425.397551243229,1622.8547124412044,V13,Strain B,Process C
469,AF12656,105,521.3481699628087,0.0,249.67787719571376,270.12955536198217,922.6424448855022,1.8195967648728752,1596.9838156503968,1943.6071434854157,1335.0984401587075,1449.104295796451,1699.7279592667776,V13,Strain B,Process C
470,AF12656,108,,,,,,,,,,,,V13,Strain B,Process C
471,AF12656,118,,,,,,,,,,,,V13,Strain B,Process C
472,AF12756,0,,,,,,,,,,,,V01,Strain B,Process C
473,AF12756,22,15.617044394734382,0.0,77.42206860946072,78.37929142792132,95.21590551095304,0.0,0.0,0.0,21.873902185386978,9.620602033320331,0.0,V01,Strain B,Process C
474,AF12756,27,,,,,,,,,,,,V01,Strain B,Process C
475,AF12756,30,,,,,,,,,,,,V01,Strain B,Process C
476,AF12756,48,,,,,,,,,,,,V01,Strain B,Process C
477,AF12756,51,,,,,,,,,,,,V01,Strain B,Process C
478,AF12756,54,168.2777070891566,59.232695482701054,82.99154246875902,503.7895175162895,582.5764827930341,0.0,1073.7614117110686,291.7070245552647,333.8419111948751,192.82367285102663,365.5603589558489,V01,Strain B,Process C
479,AF12756,57,,,,,,,,,,,,V01,Strain B,Process C
480,AF12756,70,357.84282385079683,184.81152714476306,97.48527301838425,304.9239903160452,932.3851696500022,0.0,1914.3923114535355,681.2096129252712,847.1665317519379,572.088490636319,290.48781839742566,V01,Strain B,Process C
481,AF12756,72,,,,,,,,,,,,V01,Strain B,Process C
482,AF12756,75,,,,,,,,,,,,V01,Strain B,Process C
483,AF12756,78,406.94020654759055,8.265954965293197,153.5767744216469,174.286070635381,1083.1089675692256,0.0,2074.1941296393434,825.1719785424633,997.4689375802242,855.73575864837,480.3557784760045,V01,Strain B,Process C
484,AF12756,79,,,,,,,,,,,,V01,Strain B,Process C
485,AF12756,84,,,,,,,,,,,,V01,Strain B,Process C
486,AF12756,87,,,,,,,,,,,,V01,Strain B,Process C
487,AF12756,90,,,,,,,,,,,,V01,Strain B,Process C
488,AF12756,94,481.2021785776994,14.553264308194514,277.7148905245826,257.44596044176376,1071.8279178419095,49.90341968764068,1965.5657906511003,1439.025778150223,1114.5053507092923,1299.1111746606482,952.8062487752056,V01,Strain B,Process C
489,AF12756,95,,,,,,,,,,,,V01,Strain B,Process C
490,AF12756,99,474.28742107387416,18.811549644403527,353.37849297548314,330.6772035905637,1041.958774813903,67.7486455695494,1882.5409973593341,1628.0779267025644,1074.6144082097808,1349.1698092133865,1240.9185270083244,V01,Strain B,Process C
