,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
45,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D10,12,5.5,15,3.0,0.2,0.5,0.1,0.0,0.0,0.0,2,300,1,7.546710863,
46,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D11,12,5.5,15,3.0,0.2,0.5,0.1,0.0,0.0,0.0,3,300,1,7.076833299,
47,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D12,12,5.5,15,3.0,0.2,0.5,0.1,0.0,0.0,0.0,4,300,1,7.178964583,
48,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E1,13,6.5,35,12.0,0.2,2.0,0.1,0.5,0.0,0.0,1,300,1,5.222923608,22.1
49,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E2,13,6.5,35,12.0,0.2,2.0,0.1,0.5,0.0,0.0,2,300,1,5.638883495,
50,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E3,13,6.5,35,12.0,0.2,2.0,0.1,0.5,0.0,0.0,3,300,1,6.094741363,
51,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E4,13,6.5,35,12.0,0.2,2.0,0.1,0.5,0.0,0.0,4,300,1,6.271136968,
52,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E5,14,6.5,15,12.0,1.0,1.25,0.1,0.0,0.5,0.0,1,300,1,2.642466671,11.03
53,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E6,14,6.5,15,12.0,1.0,1.25,0.1,0.0,0.5,0.0,2,300,1,1.822785253,
54,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E7,14,6.5,15,12.0,1.0,1.25,0.1,0.0,0.5,0.0,3,300,1,2.36247369,
55,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E8,14,6.5,15,12.0,1.0,1.25,0.1,0.0,0.5,0.0,4,300,1,2.423474159,
56,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E9,15,6.5,15,7.5,0.2,2.0,3.5,0.0,0.0,5.0,1,300,1,8.061733404,1.28
57,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E10,15,6.5,15,7.5,0.2,2.0,3.5,0.0,0.0,5.0,2,300,1,7.650661954,
58,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E11,15,6.5,15,7.5,0.2,2.0,3.5,0.0,0.0,5.0,3,300,1,7.35094752,
